participant_id,participant_id_dataset,semester_id,date,year,academic_year,semester,days_since_semester_start,first_day_of_the_semester,dataset_of_origin,torr_set1_score,torr_set2_score,atmi_score,wj_score,torr_s1_q1_resp,torr_s1_q2_resp,torr_s1_q3_resp,torr_s1_q4_resp,torr_s1_q5_resp,torr_s1_q6_resp,torr_s1_q7_resp,torr_s1_q8_resp,torr_s2_q1_resp,torr_s2_q2_resp,torr_s2_q3_resp,torr_s2_q4_resp,torr_s2_q5_resp,torr_s2_q6_resp,torr_s2_q7_resp,torr_s2_q8_resp,q1_r_sc,q2_r_sc,q3_r_sc,q4_r_sc,q5_r_sc,q6_sc,q7_sc,q8_sc,q9_sc,q10_r_sc,q11_sc,q12_sc,q13_val,q14_val,q15_val,q16_val,q17_val,q18_val,q19_val,q20_enj,q21_r_enj,q22_enj,q23_enj,q24_enj,q25_enj,q26_enj,q27_enj,q28_enj,q29_mot,q30_r_mot,q31_mot,q32_mot,x63,x64
SEP_7_0055,45180,spring-2020,2020-03-22,2020,2019-2020,spring,61,2020-01-21,7,5,4,101,91,A,B,B,B,A,A,A,D,B,C,A,D,A,B,C,C,2,1,2,1,2,4,4,4,3,2,4,4,3,3,3,4,4,4,5,5,2,4,5,4,3,3,3,4,4,2,2,1,NA,NA
SEP_7_0056,45341,spring-2020,2020-04-25,2020,2019-2020,spring,95,2020-01-21,7,5,4,105,118,A,B,B,B,A,D,A,B,B,C,D,D,A,C,C,B,1,1,1,1,1,5,5,5,5,1,5,5,5,4,4,3,5,5,2,4,4,3,5,3,2,1,4,4,5,1,3,2,NA,NA
SEP_7_0057,46829,spring-2020,2020-03-23,2020,2019-2020,spring,62,2020-01-21,7,5,5,97,90,A,C,B,B,D,C,A,D,B,C,C,A,A,D,D,C,2,2,2,2,4,3,4,3,5,2,3,4,4,4,4,4,4,4,5,3,3,2,4,1,1,2,2,4,2,3,4,1,NA,NA
SEP_7_0058,46871,spring-2020,2020-03-19,2020,2019-2020,spring,58,2020-01-21,7,3,6,103,109,A,D,A,A,D,C,A,D,B,C,C,D,A,D,C,C,2,2,2,2,2,4,4,4,4,2,4,4,4,3,4,4,4,4,4,4,4,2,4,4,2,2,4,4,4,2,2,2,NA,NA
SEP_7_0059,48053,spring-2020,2020-03-23,2020,2019-2020,spring,62,2020-01-21,7,7,6,106,123,D,B,B,B,D,B,A,A,D,C,C,D,A,B,A,D,1,1,1,1,1,5,4,4,4,1,4,4,4,4,4,5,5,4,4,5,2,4,5,4,4,4,4,4,4,1,2,2,NA,NA
SEP_7_0060,48382,spring-2020,2020-03-22,2020,2019-2020,spring,61,2020-01-21,7,1,2,124,95,D,D,A,B,A,C,D,B,C,C,B,B,A,B,B,A,1,1,1,1,1,5,5,4,5,1,4,4,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,4,1,5,5,NA,NA
SEP_7_0061,50011,spring-2020,2020-03-22,2020,2019-2020,spring,61,2020-01-21,7,4,4,102,69,C,D,A,B,D,B,A,D,B,C,C,D,D,C,C,B,2,2,2,2,2,2,4,3,4,2,4,4,4,3,4,4,4,4,4,4,2,3,3,3,3,3,4,4,4,4,3,2,NA,NA
SEP_7_0062,50792,spring-2020,2020-04-20,2020,2019-2020,spring,90,2020-01-21,7,2,5,86,82,D,C,A,C,D,C,A,D,C,C,D,D,A,D,A,C,4,4,3,3,5,2,2,3,1,3,1,4,4,1,4,4,3,3,4,2,4,2,1,1,1,2,2,4,3,4,1,1,NA,NA
SEP_7_0063,51554,spring-2020,2020-04-06,2020,2019-2020,spring,76,2020-01-21,7,7,6,97,117,A,B,B,B,D,C,A,A,B,C,C,D,A,D,C,B,4,4,3,2,3,2,2,3,4,3,3,3,5,4,4,5,5,4,4,3,3,4,3,2,1,4,2,2,2,2,1,1,NA,NA
SEP_7_0064,51864,spring-2020,2020-04-19,2020,2019-2020,spring,89,2020-01-21,7,7,6,92,114,D,B,B,B,D,B,A,A,B,C,A,D,A,D,C,D,3,3,4,4,4,2,2,3,3,3,2,3,3,2,3,3,3,3,3,3,4,4,4,2,2,2,2,2,2,4,3,2,NA,NA
SEP_7_0065,52976,spring-2020,2020-03-18,2020,2019-2020,spring,57,2020-01-21,7,5,2,109,93,C,B,B,B,B,B,A,D,C,C,D,A,C,D,D,C,2,2,1,2,1,4,4,4,4,2,4,4,5,5,5,5,4,5,1,4,2,4,5,4,2,4,4,4,4,2,3,3,NA,NA
SEP_7_0066,53109,spring-2020,2020-03-17,2020,2019-2020,spring,56,2020-01-21,7,1,3,97,84,C,C,A,C,D,C,D,D,C,C,D,C,A,C,B,D,3,4,3,2,2,3,3,3,4,2,4,3,2,4,4,3,2,3,1,5,3,3,5,3,3,2,3,3,3,4,3,2,NA,NA
SEP_7_0067,53178,spring-2020,2020-04-04,2020,2019-2020,spring,74,2020-01-21,7,2,3,110,79,D,A,D,C,D,C,A,C,B,C,A,A,B,A,A,C,4,2,4,4,4,2,2,2,4,4,2,4,4,5,5,3,4,4,4,2,4,3,3,2,4,3,4,2,4,4,4,4,NA,NA
SEP_7_0068,54925,spring-2020,2020-03-19,2020,2019-2020,spring,58,2020-01-21,7,2,2,97,88,A,A,C,B,C,C,D,B,C,C,A,B,B,B,A,C,2,4,2,3,2,4,4,2,4,4,2,4,4,2,4,3,3,3,3,4,3,3,3,3,3,3,2,3,3,3,2,3,NA,NA
SEP_7_0069,55219,spring-2020,2020-03-24,2020,2019-2020,spring,63,2020-01-21,7,5,5,110,55,B,C,B,B,D,B,A,D,B,C,D,C,A,C,A,D,2,3,2,4,5,4,5,4,4,2,4,5,4,3,5,4,4,4,2,2,5,2,5,2,2,3,4,4,4,4,2,1,NA,NA
SEP_7_0070,55544,spring-2020,2020-03-22,2020,2019-2020,spring,61,2020-01-21,7,1,6,95,102,C,C,A,D,A,C,A,C,B,C,A,D,A,C,A,D,2,2,2,2,2,3,4,4,3,2,3,3,4,4,4,2,2,4,3,3,2,2,4,4,3,3,3,4,4,4,2,2,NA,NA
SEP_7_0071,56070,spring-2020,2020-04-21,2020,2019-2020,spring,91,2020-01-21,7,3,3,103,68,D,A,B,C,D,C,A,D,B,D,D,B,A,B,A,A,2,1,3,2,2,3,4,4,4,2,3,4,5,4,4,4,4,2,4,3,4,3,5,3,2,2,4,4,4,2,4,2,NA,NA
SEP_7_0072,56858,spring-2020,2020-03-31,2020,2019-2020,spring,70,2020-01-21,7,0,1,106,105,D,D,A,C,B,A,D,C,C,B,A,D,C,B,B,A,1,1,1,1,1,4,4,4,4,1,4,4,5,4,4,5,5,4,4,4,1,4,5,4,4,4,4,4,3,2,3,3,NA,NA
SEP_7_0073,57433,spring-2020,2020-03-17,2020,2019-2020,spring,56,2020-01-21,7,4,3,103,78,A,C,A,C,A,B,A,A,B,A,C,B,A,B,B,A,2,3,2,2,2,3,3,3,3,2,3,3,5,5,5,5,5,1,4,3,3,4,4,3,3,3,3,4,4,2,3,3,NA,NA
